Date,Max,Min
12/1/14,62,51
12/2/14,57,50
12/3/14,64,56
12/4/14,69,55
12/5/14,67,55
12/6/14,67,54
12/7/14,60,50
12/8/14,64,50
12/9/14,58,51
12/10/14,57,51
12/11/14,61,49
12/12/14,55,45
12/13/14,54,45
12/14/14,52,44
12/15/14,55,47
12/16/14,61,48
12/17/14,57,47
12/18/14,61,49
12/19/14,54,50
12/20/14,57,52
12/21/14,65,55
12/22/14,59,49
12/23/14,65,47
12/24/14,59,45
12/25/14,56,41
12/26/14,55,39
12/27/14,55,35
12/28/14,54,37
12/29/14,47,38
12/30/14,54,37
12/31/14,54,35
1/1/15,52,29
1/2/15,49,30
1/3/15,52,30
1/4/15,55,35
1/5/15,55,35
1/6/15,60,37
1/7/15,63,37
1/8/15,60,40
1/9/15,54,40
1/10/15,62,45
1/11/15,62,44
1/12/15,62,43
1/13/15,60,37
1/14/15,53,36
1/15/15,54,38
1/16/15,52,44
1/17/15,53,46
1/18/15,52,47
1/19/15,57,48
1/20/15,55,43
1/21/15,57,39
1/22/15,52,42
1/23/15,56,40
1/24/15,55,43
1/25/15,56,41
1/26/15,62,38
1/27/15,62,47
1/28/15,66,45
1/29/15,66,43
1/30/15,67,42
1/31/15,72,44
2/1/15,65,41
2/2/15,64,44
2/3/15,69,46
2/4/15,65,44
2/5/15,58,50
2/6/15,62,53
2/7/15,66,56
2/8/15,62,58
2/9/15,67,50
2/10/15,60,44
2/11/15,64,41
2/12/15,69,46
2/13/15,70,45
2/14/15,70,47
2/15/15,69,46
2/16/15,71,47
2/17/15,66,49
2/18/15,59,45
2/19/15,58,48
2/20/15,67,50
2/21/15,60,47
2/22/15,66,44
2/23/15,63,44
2/24/15,61,42
2/25/15,66,41
2/26/15,72,43
2/27/15,70,46
2/28/15,59,47
3/1/15,66,41
3/2/15,62,45
3/3/15,62,43
3/4/15,66,41
3/5/15,70,42
3/6/15,74,43
3/7/15,75,45
3/8/15,75,46
3/9/15,77,47
3/10/15,73,51
3/11/15,66,54
3/12/15,65,45
3/13/15,78,53
3/14/15,81,58
3/15/15,76,56
3/16/15,67,54
3/17/15,73,53
3/18/15,76,49
3/19/15,80,48
3/20/15,73,53
3/21/15,75,52
3/22/15,71,54
3/23/15,68,51
3/24/15,69,52
3/25/15,78,50
3/26/15,82,52
3/27/15,84,54
3/28/15,82,50
3/29/15,83,48
3/30/15,82,51
3/31/15,72,50
4/1/15,69,44
4/2/15,70,49
4/3/15,77,43
4/4/15,72,45
4/5/15,61,44
4/6/15,64,41
4/7/15,59,45
4/8/15,60,41
4/9/15,68,42
4/10/15,74,46
4/11/15,74,49
4/12/15,80,51
4/13/15,74,52
4/14/15,66,46
4/15/15,74,50
4/16/15,81,50
4/17/15,84,49
4/18/15,85,52
4/19/15,86,53
4/20/15,79,52
4/21/15,68,51
4/22/15,77,50
4/23/15,78,51
4/24/15,73,51
4/25/15,70,51
4/26/15,77,48
4/27/15,88,55
4/28/15,83,55
4/29/15,86,53
4/30/15,89,56
5/1/15,93,59
5/2/15,85,54
5/3/15,76,51
5/4/15,75,49
5/5/15,77,51
5/6/15,80,50
5/7/15,71,52
5/8/15,75,47
5/9/15,79,50
5/10/15,78,51
5/11/15,73,53
5/12/15,72,49
5/13/15,69,51
5/14/15,71,51
5/15/15,72,50
5/16/15,76,52
5/17/15,72,53
5/18/15,73,52
5/19/15,76,52
5/20/15,74,52
5/21/15,74,52
5/22/15,76,54
5/23/15,77,55
5/24/15,80,54
5/25/15,77,52
5/26/15,78,51
5/27/15,81,52
5/28/15,87,53
5/29/15,88,53
5/30/15,89,54
5/31/15,84,55
6/1/15,80,54
6/2/15,85,56
6/3/15,83,57
6/4/15,86,55
6/5/15,92,58
6/6/15,90,58
6/7/15,96,59
6/8/15,102,68
6/9/15,93,70
6/10/15,72,66
6/11/15,97,63
6/12/15,103,63
6/13/15,94,59
6/14/15,87,55
6/15/15,86,53
6/16/15,95,55
6/17/15,97,57
6/18/15,91,57
6/19/15,94,57
6/20/15,97,61
6/21/15,87,55
6/22/15,90,56
6/23/15,95,57
6/24/15,96,58
6/25/15,102,65
6/26/15,103,69
6/27/15,90,61
6/28/15,94,65
6/29/15,99,58
6/30/15,105,66
7/1/15,99,70
7/2/15,94,70
7/3/15,97,64
7/4/15,99,63
7/5/15,91,61
7/6/15,93,59
7/7/15,89,61
7/8/15,83,58
7/9/15,75,58
7/10/15,79,60
7/11/15,87,59
7/12/15,87,62
7/13/15,91,61
7/14/15,89,61
7/15/15,95,58
7/16/15,96,61
7/17/15,97,60
7/18/15,93,61
7/19/15,95,66
7/20/15,99,70
